epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
83,109709,1.08058,0.98469,1.1216,0.72835,0.54402,0.61169,0.43701,1.06538,0.877,1.09352,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,110887,1.07788,0.97785,1.11881,0.73426,0.54365,0.61336,0.43752,1.06364,0.8761,1.09217,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,112086,1.07495,0.97615,1.11817,0.73011,0.54584,0.61357,0.43854,1.06222,0.87507,1.09113,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,113375,1.07255,0.96806,1.11613,0.73407,0.54457,0.61489,0.43924,1.06206,0.87342,1.09103,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,114374,1.06917,0.96416,1.1141,0.72793,0.54986,0.61553,0.43943,1.06145,0.87216,1.09039,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,115406,1.06898,0.96231,1.11248,0.72395,0.54958,0.61627,0.44061,1.06104,0.87127,1.09021,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,116408,1.06303,0.95415,1.10987,0.70741,0.55963,0.6175,0.44199,1.06008,0.87038,1.08947,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,117353,1.06045,0.95035,1.10931,0.71669,0.55603,0.61719,0.44206,1.05965,0.8701,1.08918,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,118320,1.07779,0.9101,1.11812,0.71991,0.55648,0.61763,0.44188,1.05837,0.86892,1.08818,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,119221,1.07142,0.89696,1.11418,0.72098,0.55536,0.61866,0.44236,1.05737,0.86719,1.08739,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,120114,1.06604,0.88849,1.11295,0.72218,0.5561,0.61974,0.44288,1.05605,0.86651,1.08637,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,121013,1.0603,0.8788,1.10957,0.71722,0.56051,0.61998,0.44323,1.05496,0.86612,1.08575,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,121959,1.05321,0.87114,1.10437,0.72079,0.55934,0.62059,0.44423,1.05407,0.86488,1.08532,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,123182,1.04808,0.8615,1.10094,0.728,0.55681,0.6218,0.44478,1.0536,0.86492,1.08525,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,124367,1.04344,0.85442,1.09808,0.733,0.55628,0.62222,0.44492,1.05341,0.86429,1.08472,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,125558,1.035,0.84398,1.09419,0.74092,0.555,0.62166,0.44587,1.05296,0.86347,1.08431,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,126848,1.03284,0.83868,1.09311,0.73862,0.55701,0.62262,0.44665,1.0528,0.8626,1.08445,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,128113,1.02677,0.82748,1.08706,0.73979,0.55869,0.62401,0.44683,1.053,0.86197,1.08429,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
